2017-04-19 18:19:18,330 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
2017-04-19 18:19:18,346 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2017-04-19 18:19:18,347 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://www.webapi.ccroom.com.cn:8033][total kept alive: 0; route allocated: 0 of 2; total allocated: 0 of 20]
2017-04-19 18:19:18,368 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 0][route: {}->http://www.webapi.ccroom.com.cn:8033][total kept alive: 0; route allocated: 1 of 2; total allocated: 1 of 20]
2017-04-19 18:19:18,370 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://www.webapi.ccroom.com.cn:8033
2017-04-19 18:19:18,413 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connecting to www.webapi.ccroom.com.cn/182.61.57.151:8033
2017-04-19 18:19:18,463 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connection established 192.168.111.160:59852<->182.61.57.151:8033
2017-04-19 18:19:18,464 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request GET /userBaseData/GetUserBaseData?id=33031&appid=679636&sign=259123ded2f5ba1b578f2d76ba75f8ba HTTP/1.1
2017-04-19 18:19:18,464 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2017-04-19 18:19:18,464 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2017-04-19 18:19:18,466 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> GET /userBaseData/GetUserBaseData?id=33031&appid=679636&sign=259123ded2f5ba1b578f2d76ba75f8ba HTTP/1.1
2017-04-19 18:19:18,466 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Host: www.webapi.ccroom.com.cn:8033
2017-04-19 18:19:18,466 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Connection: Keep-Alive
2017-04-19 18:19:18,466 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.6.0_31)
2017-04-19 18:19:18,466 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Accept-Encoding: gzip,deflate
2017-04-19 18:19:18,466 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "GET /userBaseData/GetUserBaseData?id=33031&appid=679636&sign=259123ded2f5ba1b578f2d76ba75f8ba HTTP/1.1[\r][\n]"
2017-04-19 18:19:18,466 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Host: www.webapi.ccroom.com.cn:8033[\r][\n]"
2017-04-19 18:19:18,466 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
2017-04-19 18:19:18,466 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.6.0_31)[\r][\n]"
2017-04-19 18:19:18,466 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2017-04-19 18:19:18,467 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "[\r][\n]"
2017-04-19 18:19:18,520 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
2017-04-19 18:19:18,520 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "Cache-Control: no-cache[\r][\n]"
2017-04-19 18:19:18,520 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "Pragma: no-cache[\r][\n]"
2017-04-19 18:19:18,520 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "Content-Type: application/json; charset=utf-8[\r][\n]"
2017-04-19 18:19:18,520 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "Expires: -1[\r][\n]"
2017-04-19 18:19:18,520 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "Server: Microsoft-IIS/8.5[\r][\n]"
2017-04-19 18:19:18,520 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "X-AspNet-Version: 4.0.30319[\r][\n]"
